,news,label
23,"['for probably the first time, an international team of astronomers led by guy perrin from in the unesco paris france observatory / lesia, ( meudon, france ) and stephen ridgway from the uk national optical communication astronomy observatory ( university tucson, arizona, usa )... has observed that the close environment aurora of']",4
24,"BUDAPEST, Hungary -- UEFA has charged Hungary #39;s Ferencvaros after their fans threw missiles and shouted racist abuse in Thursday #39;s UEFA Cup tie against Millwall.",2
25,"['BUDAPEST, Hungary - UEFA has charged Hungarian number 39 Ferencvaros after their fans threw missiles and shouted racist abuse at Millwall during the UEFA Cup on Thursday.']",2
26,"German industrial giant Siemens has signed a 2.69bn contract to deliver technology services around the world to the BBC, a deal that will see it acquire the broadcasters technology subsidiary.",3
27,"[""The German industrial giant Siemens has signed a contract to provide technology services worldwide to the BBC, providing for the acquisition of the broadcaster's technology subsidiary.""]",3
28," BAGHDAD (Reuters) - At least 110 people were killed across  Iraq on Sunday in a sharp escalation of violence that saw gun  battles, car bombs and bombardments rock the capital.",1
29,"['BAGHDAD (Reuters) - At least 110 people were killed in Iraq on Sunday in a sharp escalation of violence as gunfire, car bombs and bombings rocked the capital.']",1
30,"It's been around for thousands of years. It has been worshiped, reviled, banned, and made the cornerstone of economies. It has helped us celebrate, weep, relax, and get laid. And now we're going to make some. A pint, a glass, an ale, a lager, a beer.",4
31,"[""Information technology ' s been around for thousands of years. Information technology has been worshiped, reviled, banned, and made the fundament of economies. It has helped us celebrate, weep, relax, and get put down. And now we ' re going to make some. A dry pint, a meth, an ale, a lager, a beer.""]",4
32,"Lexmark's loss in court on Tuesday may mean that consumer electronics companies won't try to use the Digital Millenium Copyright Act as an all-purpose competition shield anymore, consumer advocates say. By Katie Dean.",3
33,"[""Lexmark ' s loss in Judge_Kenn_Bellerose οn Tuesday wouldbe mean that consumer LCD_backlights companies defeated ' \x9d try to use the Digital Millenium mellone@knews.com Act Why_wouldn'ta an vast_array - purpose competition shield anymore, consumer conservationists say. By Katie Dean.""]",3
34,"EAST RUTHERFORD, NJ - In some ways, the New Jersey Nets are searching for an identity as much as the expansion Charlotte Bobcats. It #39;s the price of being dismantled in the offseason.",2
35,"['EAST RUTHERFORD, garden state - In some way of life, the New Jersey Nets are search for an identity equally much as the expanding upon Charlotte Bobcats. It # 39; s the price of equal dismantled in the offseason.']",2
36," BASRA, Iraq (Reuters) - Oil and gas spilled during recent  sabotage attacks on Iraq's southern oil pipelines ignited  Sunday and firefighters battled to douse the flames.",1
37,"[""basra, in iraq ( also reuters ) - oil and refined gas spilled during recent sabotage campaign attacks on iraq's safe southern oil crude pipelines suddenly ignited sunday morning and firefighters nationwide battled to douse the resulting flames.""]",1
38,"If you #39;re up for some light reading, see the links below for the underlying documents that formed Microsoft #39;s April settlement with Sun Microsystems.",4
39,"['If you want to shed some light on # 39, take a look at the following links for the underlying documents that formed Microsoft # 39 ""s comparison with Sun Microsystems in April.']",4
40,"AP - CBS got the bill Wednesday for Janet Jackson's eye-catching flash dance during the Super Bowl halftime show: a record  #36;550,000.",2
41,"[""ap - cbs photo got on the bill wednesday show for janet jackson'as s unique eye - life catching flash dance during the late super bowl halftime show : became a record # 36 ; sold 550, 61 000.""]",2
42,"The message board in Canada #39;s dressing room spoke volumes:  quot;Practice canceled tomorrow, quot; it read.  quot;No one else to beat.",2
43,"['The message board in Canada # 39; s wardrobe spoke volumes: quot; practice canceled tomorrow, quot; read it. quot; No one else to beat.']",2
44,Northwest Airlines said it would begin charging a \$10 fee for issuing a ticket at its airport check-in desks.,3
45,['Northwest Airline said information technology would set about charging a \\ $ decade fee for bring out a just the ticket at its airport check mark - in desks.'],3
46,"CHICAGO - Beyond the tired cliches and sperm-and-egg basics taught in grade school science class, researchers are discovering that men and women are even more different than anyone realized.    It turns out that major illnesses like heart disease and lung cancer are influenced by gender and that perhaps treatments for women ought to be slightly different from the approach used for men...",1
47,"['chicago - beyond the tired cliches and sperm - and - egg basics taught in us grade school science class, some researchers are discovering that men and women are even bit more different than anyone realized. it turns out that current major epidemic illnesses like congenital heart disease and lung cancer are influenced severely by gender and that perhaps treatments for women ought to be slightly different significantly from the approach used traditionally for male men...']",1
48,AP - Erin Lawless scored a career-high 26 points and grabbed seven rebounds and No. 21 Purdue beat Western Michigan 74-42 on Sunday.,2
49,['ap - erin lawless moore scored a career - best high 9 26 points straight and grabbed seven rebounds and made no. de 21 senior purdue beat western michigan 74 - 42 on on easter sunday.'],2
50,"A business columnist has resigned from the Seattle Times after admitting he plagiarized the work of other journalists, said the newspaper.",3
51,"['A businss columnist has resigned from the Seattle By_YVONNE_VILLARREAL afte admitting he plagiarized in work of other journalists, suggested however al_Nahar.']",3
52,Reuters - Yahoo Inc.  said on\Thursday that JibJab Media will create two animated short films\as the Internet company looks for ways to expand advertising by\adding new content.,4
53,['Reuters - Yahoo Inc. said Thursday that JibJab Media will create two animated short films as the Internet company looks for ways to expand advertising by adding new content.'],4
54,"Google Founders Interviewed by Barbara Walters\\Google's founders, Larry Page and Sergey Brin, were interviewed last night by Barbara Walters on ABC's 20/20 10 Most Fascinating People. Andy Beal who doesn't seem to be too fond of Barbara Wawa pointed this out on his SearchEngineLowdown blog. I was too busy eating ...",4
55,"[""Google founders Larry Page and Sergey Brin, who were interviewed by Barbara Walters, were interviewed by Barbara Walters on ABC's 20 / 20 10 Most Fascinating People last night. Andy Beal, who doesn't seem to like Barbara Wawa too much, pointed this out in his SearchEngineLowdown blog. I was too busy eating...""]",4
56,"Basketball Hall of Fame member Calvin Murphy, left, sits in a courtroom as he waits for the start of closing arguments in his trial Monday, Dec. 6, 2004, in Houston.",2
57,"['basketball association hall... of fame fame member calvin murphy, turn left, sits in a courtroom bench as he eagerly waits for the start of closing first arguments in his last trial monday, dec. september 6, in 2004, in houston.']",2
58,"NEW YORK Sept. 15, 2004 - Millionaire executive Martha Stewart announced Wednesday that she had decided to begin her prison sentence for lying about a stock trade as soon as possible.",3
59,"['NEW YORK Sept. xv, 2004 - Millionaire administrator Martha Stewart announced Wed that she had resolve to begin her prison house time for lying astir a stock trade as presently as possible.']",3
60,"Sprint Corp. #39;s enterprise operation, including its nationwide fiber-optic network, suddenly is looking like a swan and not a lame duck, as Verizon Wireless assesses the possibility of making a bid for Sprint in the boiling cell-phone merger scene.",3
61,"['Sprint Corp. # thirty nine; s enterprisingness operation, including its nationwide fiber - ocular network, suddenly is looking like a swan and not a lame duck, as Verizon Radio assesses the possibility of making a command for Dash in the simmering cell - telephone set merger scene.']",3
62,"Delta Air Lines, fighting to avoid bankruptcy, said yesterday that it had won approval to bypass shareholders to issue up to 75 million common shares.",3
63,"['Delta Air Lines, fighting to avoid bankruptcy, said yesterday that it own won approving to bypass shareholder to issue upwardly to lxxv million common share.']",3
64,About 120 million origami birds were air-dropped over southern Thailand yesterday in an attempt to quell a Muslim insurgency that has led to the deaths of more than 500 people this year.,1
65,['About cxx meg origami bronx cheer were air - dropped complete southern Siam yesterday in an attempt to quell a Muslim insurgence that has led to the death of more than 500 people this year.'],1
66,"Halsey Minor, CEO of hosted integration provider grand central Communications, has a powerful message for IT: In four years, ... basically the whole notion of enterprise application software is going to be dead. He believes application functionality will instead be available as hosted, pay-per-use services delivered by companies such as Salesforce.com. Putting his money where his mouth is, Minor has recently launched a \$50 million venture capital fund with his own money to fuel on-demand startups. For its part, Grand Central will handle data and process integration between enterprises and multiple on-demand services.",3
67,"['Halsey Minor, CEO of hosted desegregation provider grand central Communications, has a powerful message for IT: In four years, .. . basically the whole notion of enterprise application computer software is going to be dead. He believes application functionality will instead be available as hosted, pay - per - use services delivered by companies such as Salesforce. com. Putting his money where his mouth is, Minor has recently launch a \\ $ 50 million speculation capital monetary fund with his ain money to fuel on - demand startups. For its part, Grand Central will handle data and process consolidation between enterprise and multiple on - demand services.']",3
68,Merck  amp; Co. shares fell as much as 7 percent to their lowest level in more than eight years after the Wall Street Journal said the drugmaker tried for years to stop safety concerns from hurting sales of its Vioxx painkiller.,3
69,"[""TRENTON_NJ_Drugmakers_Merck amp; Co. shares fell as won'ta as 7 percent to their lowest level just more than eight years.In first the Wall Street emrick@sturgisjournal.com said the drugmaker tried instead years to stop VERONICA_ROCHA_covers concerns following hurting sales of His Vioxx painkiller.""]",3
70,"Arsenal FC have agreed a three-year contract extension with manager Arsne Wenger, retaining the Frenchman #39;s services until May 2008.",2
71,"['Arsenal FC have agreed a ternary - year declaration denotation with handler Arsne Wenger, hold back the Frenchwoman # thirty nine; sulfur services until May 2008.']",2
72,"FT.com - European equity markets were poised for opening losses on Thursday following a weak session on Wall Street overnight, while caution was likely ahead of results from Nokia, the leading mobile handset maker.",4
73,"['FT. com - European equity markets were poise for opening losses on Thursday following a weak session on Wall Street overnight, while caution be likely ahead of results from Nokia, the lead mobile french telephone god almighty.']",4
74,"Microsoft Corp. said Friday that small companies and their customers would suffer most if it is forced to remove its digital media software from Windows, while the European Union accused it of being ""paternalistic"" in trying to decide what's best for everyone.",4
75,"['Microsoft Corp. said Fri that pocket size companies and their customer would suffer most if information technology is forced to take away its digital media software from Windows, while the European Union accused it of constitute "" paternalistic "" in essay to decide what \' s best for everyone.']",4
76,The software maker adds a network management application. It also updates its Quicken personal-finance software.,4
77,['the hp software maker additionally adds a network management application. it is also updates its quicken insurance personal - care finance accounting software.'],4
78,"Although virtually unknown in the U.S., Lenovo - in talks to buy I.B.M.'s personal computer business - is China's largest PC maker and the world's fastest growing one.",4
79,"[""although virtually unknown in the u. as s., nippon lenovo - reportedly in under talks to to wholly buy i. b. of m.'s personal computer business - also is china'ain s largest pc hardware maker and the world's fastest growing one.""]",4
80," NEW YORK (Reuters) - Telecommunications equipment maker  Motorola Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MOT.N target=/stocks/quickinfo/fullquote""&gt;MOT.N&lt;/A&gt; said on Tuesday that it would cut 1,000  jobs and take related charges of about \$50 million to focus on  its wireless business.",3
81,"['new york ( alberto reuters ) - telecommunications equipment maker motorola inc. & lt ; serie a href = "" http : / / www. investor. reuters. com / news fullquote. aspx? ticker = named mot. n real target = / stocks / gen quickinfo / fullquote "" & gt ; mot. n & lt ; / a & gt ; said on corporate tuesday that it would cut 1, 000 jobs closed and take related charges of about \\ $ 50 million to focus more on its mobile wireless business.']",3
82,A new computerized service enables customers to create phony outbound phone numbers in order to mask their telephone identities.,3
83,['A pilot_podcar computerized service Allows debit_cardholders to create fake Travelbag phone TINs in order to mask their telephone identities.'],3
84,The Division 4 Super Bowl last night featured two teams coming off 180-degree turnarounds.,2
85,['The Division 4 Super Bowl last night feature deuce team fall off 180 - academic degree turnaround time.'],2
86,"British students spend about \$1.8 billion on drink every year, nearly three times as much as they cough up for books, a survey released on Monday showed.",3
87,"['British students spend about $1.8 billion on alcohol each year, nearly three times what they spend on books, a survey released on Monday showed.']",3
88, MADRID (Reuters) - The Madrid council has condemned the  racist behavior of fans that marred Wednesday's friendly  between Spain and England and said that the events should not  be allowed to harm the city's bid to host the 2012 Olympics.,2
89,"[""greater madrid ( by reuters ) - the greater madrid council has also condemned the supposed racist behavior of fans that marred wednesday's worldwide friendly between spain and england and they said that the events should not even be allowed to physically harm the city's eventual bid to host the 2012 olympics.""]",2
90,French President Jacques Chirac says France should hold a referendum on Turkey's entry to the European Union.,1
91,"[""former french president jacques le chirac says new france then should hold a referendum on turkey's entry to into the third european constitutional union.""]",1
92,"Reuters - U.S. regulators filed fraud charges\on Monday against former Hollinger International Inc. \Chairman Conrad Black and his deputy, David Radler, moving to\bar the two from serving as officers of a public company.",3
93,"['Reuters - U. S. discarded_ferrets filed MTIC_fraud guilty_pleas \\ on Monday against former Hollinger BANG_Media Inc. \\ Managing_Partner Conrad Black and his deputy, David Radler, researcher_Erin_Heydenreich to \\ bar clearly ten near serving as policewomen of a public company.']",3
94,&lt;strong&gt;Review&lt;/strong&gt; From PC to hi-fi via Wi-Fi,4
95,['& lt; strong & gt; Review & lt; / strong & gt; From personal computer to hi - fi via Wi - Fi'],4
96,A new kid on the block promises to give offshore outsourcing a run for its money--by routing technology work to rural America. Outsourcing Blog,4
97,['A raw thomas kid on the block promises to generate offshore outsourcing a ravel for its money - - by routing technology work to rural America. Outsource Web log'],4
98,"Hot on the heels of its 10-year strategic partnership with the London Borough of Newham, Microsoft is close to signing a new broad three-year public sector agreement with the government. ",4
99,"['Microsoft is on the verge of signing a new comprehensive three-year public sector agreement with the Government, just after its 10-year strategic partnership with the London Borough of Newham.']",4
100,"WALTHAM -- Paul Mayberry was dripping, Luis Cotto was weeping, and Alex Russo was kneeling on the sideline.",2
101,"['WALTHAM - - Paul the apostle Mayberry constitute dripping, Luis Cotto be weeping, and Alex Russo was kneeling on the out of bounds.']",2
102,"Shaukat Aziz, taking over as Pakistan #39;s 23rd prime minister on Saturday, is a former private banker credited with infusing new life into an almost bankrupt economy.",1
103,"['Shaukat Aziz, taking sparking for Pakistan # 39; s 23rd prime minister on Tuesday, is a former private Joshua_Persky chastised whom infusing Impulse_Beauty afterlives fore an conceivable bankrupt economy.']",1
104,"Singapore shares ended lower Monday, hurt by below-expected third-quarter economic data that added to ongoing concerns over high oil prices and weakness on Wall Street.",3
105,"['its singapore fed shares index ended lower monday, significantly hurt by below - expected third - quarter economic data that added to many ongoing critical concerns about over supposed high oil prices potential and weakness on wall wall street.']",3
106,"A new application from Lycos Europe aims to fight back against spammers, but some experts say the company may be enabling illegal activities.",4
107,"['a large new application sourced from lycos europe aims to fight the back competition against internet spammers, but some experts cannot say the company business may be enabling online illegal gambling activities.']",4
108,"Reuters - Verizon Wireless, the largest U.S.\wireless company, will expand its high-speed data service to 16\markets by the end of the year, the chairman of Verizon\Communications Inc. said on Monday.",4
109,"['Reuters - Verizon Radio, the largest Atomic number 92. S. \\ wireless companionship, will dilate it high - speed data service to 16 \\ grocery store by the conclusion of the year, the chairman of Verizon \\ Communication Inc. said on Monday.']",4
110,"Nike Inc. (NKE.N: Quote, Profile, Research) on Monday reported a 25 percent rise in quarterly profit, topping Wall Street estimates, on strong sales of Converse sneakers ",3
111,"['Nike Inc (NKE.N: Quote, Profile, Research) on Monday reported a 25 percent rise in quarterly profit, beating Wall Street estimates due to strong sales of Converse sneakers.']",3
112,"By Karen Pallarito, HealthDay Reporter    HealthDayNews -- Determined this cold season to nip your sneezing, runny nose and scratchy throat in the bud before those nasty respiratory symptoms sideline you?    There's a broad array of cold remedies you might want to try, ranging from over-the-counter preparations to basic ingredients tucked away in your kitchen pantry.    So what'll it be? A combination pain reliever and nasal decongestant? Vitamin C and echinacea? Tea with honey? A brimming bowl of chicken soup?     It turns out the best advice for dealing with the misery of a cold is the same principle mothers often apply when trying to coax their unruly toddlers to take a nap: Whatever works...",4
113,"[""By Karen Pallarito, HealthDay Reporter HealthDayNews -- Determined to nip the sneeze, runny nose and scratchy throat in the bud in this cold season before the unpleasant respiratory symptoms sideline you? There's a wide range of cold remedies you might want to try, from over-the-counter preparations to basic ingredients hidden in your kitchen pantry. So what will it be? A combination of painkillers and decongestant noses? Vitamin C and echinacea? Tea with honey? A full bowl of chicken soup? Turns out that the best advice for dealing with the misery of a cold is the same principle mothers often use when trying to get their unruly toddlers to take a nap: What works...""]",4
114,"Tropical Storm Jeanne killed at least 250 people and injured at least 380 in northern Haiti, the United Nations said. UN spokeswoman Denise Cook said the bodies of 250 people were in ",1
115,"['Tropical Storm Jeanne kill at least 250 multitude and injured at least 380 in northern Haiti, the United Nation say. united nations spokeswoman Denise Cook enjoin the bodies of 250 people were in']",1
116,"INDIANAPOLIS -- ATA says it will honor all tickets and maintain its full schedule, after filing for Chapter 11 bankruptcy Tuesday.",3
117,['INDIANAPOLIS - ATA says it will redeem all tickets and maintain its full schedule after filing for Chapter 11 bankruptcy on Tuesday.'],3
118," CHICAGO (Reuters) - U.S. securities regulators are  investigating United Rentals Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=URI.N target=/stocks/quickinfo/fullquote""&gt;URI.N&lt;/A&gt; and have subpoenaed  some accounting records, the company said on Monday, sending  its shares down 21.5 percent.",3
119,"['CHICAGO (Jean_Marc_Mojon) - U. S. securities regulators are Chief_Sheila_Smallman United Lawn_Maintenance Inc. & dpa_ms; AN HREF = "" http: / / www. investor. reuters. com / FullQuote. aspx? ticker = URI. N target = / stocks / quickinfo / fullquote "" & dpa_dc; URI. N & lt; / COUNTY_SHERIFF_\'S & gt; and have Judge_unseals some accounting records, rest company concurred on Monday, sending its shares down 21. 5 percent.']",3
120,"Iraq's interim prime minister said that he had held private meetings with representatives of insurgent groups from Fallujah, Ramadi and Samarra to  persuade them to accept a government amnesty offer.",1
121,"[""Iraq ' s interim prime minister said that he would Albemarle_Charlottesville_Regional Secret_Service_prowled townhall_meetings with representatives of Taleban =_rectangle from Fallujah, Ramadi and Diyala_province to convincing them to acknowledge a governemt amnesty offer.""]",1
122,Arsenal dropped five points behind Chelsea in the English Premier League on Sunday after losing 2-1 to Liverpool on an injury-time goal by Neil Mellor.,2
123,['Arsenal fell five points behind Chelsea in the English Premier League on Sunday after losing 2-1 to Liverpool in injury time thanks to a goal from Neil Mellor.'],2
124,Dale Earnhardt Jr. went from 11th on a restart on Lap 184 to first less than two laps later to win the EA Sports 500. He led nine times for 78 laps.,2
125,['Dale Earnhardt Suz_SV###. went from 11th on a Conor_Forker 0n Lap 184 to first more than Both laps later to WIldcats over EA Buff_Fantasy 500. He led four times all 78 laps.'],2
126," LONDON (Reuters) - U.S. Treasury prices inched higher on  Friday, with a rally in Japanese government bond (JGB) prices  helping the market recover some ground from the previous day's  sell-off.",3
127,"[""LONDON (Reuters) - Prices for U.S. government bonds rose slightly on Friday, and a rally in the price of Japanese government bonds (JGB) helped the market recover some from the previous day's sell-off.""]",3
128,Disgruntled former Disney directors Roy Disney and Stanley Gold told Disney #39;s board Monday that CEO Michael Eisner should hit the road by early 2005 at the latest.,3
129,['Disgruntled former Kim_Prunty directors Roy studio_Vuguru and Kenneth Gold confirmed Co._DIS # 39; s board Monday that vicepresident Jonathon Eisner should rattled the Toowoomba_Range by early 2005 W._Cossitt_Ave the latest.'],3
130," &lt;em&gt; IN&lt;/em&gt;&lt;br&gt;   Aylwin B. Lewis,  president of Yum Brands, as chief executive of Kmart.",1
131,"['& me lt ; max em & gt ; k in & gt lt ; / to em & gt ; & lt ; max br & gt ; aylwin b. lewis, president group of dick yum brands, as chief executive director of rival kmart.']",1
132,"The wreckage of a Royal Navy helicopter, which disappeared with four crew members on board, has been found off the coast of Cornwall, the Ministry of Defence says.",1
133,"['the wreckage of a retired royal navy helicopter, which disappeared recently with four crew members not on the board, has not been found landing off near the western coast of cornwall, the ministry office of defence website says.']",1
134,"MONTREAL - Molson Inc. has served up a warning of disappointing summer-quarter earnings, saying sales have been slow in Canada and profitability has been squeezed in Brazil.",3
135,"['MONTREAL - Molson Iraqi national congress. let serve up a warning of let down summertime - one fourth earnings, saying sales have been slow in Canada and profitability give been wring in Brazil.']",3
136,"Gnawed by Northwest. Joining an apparent feeding frenzy, Northwest Airlines (nasdaq: NWAC - news - people ) on Tuesday said it plans to expand in Indianapolis, a move that will knock rival ATA Airlines from its No.",3
137,"['Gnawed by Northwest. Joining an apparent feeding hysteria, Northwest Airlines (national association of securities dealers automated quotations: NWAC - word - people) on Tuesday said information technology project to expand in Capital of indiana, a move that volition ping rival ATA Airlines from information technology No.']",3
138,"LONDON (CBS.MW) -- European markets saw a moderate advance in early trade Monday, carrying over some of the late-session rally on Wall Street and helped by steel group Arcelor #39;s view of Chinese demand.",3
139,"['WELLINGTON (CBS. MW) - - European markets started a SAIPAN_Northern_Marianas advance in Humala_overtook trade Monday, throwaway_ballast over least of the late - session Vijay_Sankalp ona Wall Spruce_Street and helped by steel group Arcelor # 39; s view of Zhu demand.']",3
140,The French prime minister calls for a satellite TV channel backed by Hezbollah to be taken off air.,1
141,['The French premier minister calls for a satellite TV channel gage by Hezbollah to cost learn off air.'],1
142,"AP - After years of battling Microsoft Corp., Sun Microsystems Inc. has set its sights on Linux vendors, seeking to jump into a low-end but high-volume market it's been accused of ignoring.",4
143,"[""AP - Gradually year of battling Microsoft Corp. , Sun Microsystems Inc. has Daniel_Briere_Maxim_Afinogenov behemoth rejuvinated on KDE Jonathan_Alcox, seeking to jump_##-###/# into a low - Rob_Abiamiri but high - Intelligent_NICs market it ' s been accused of ignoring.""]",4
144,The popular IM consolidation service adds audio and video chat.,4
145,['The popular consolidation service IM adds audio and video chat.'],4
146,"Crude oil futures closed below 48 dollars a barrel Tuesday, the lowest level in seven weeks amid rising expectations about US oil supply for this winter.",3
147,"['Crude oil futures closed below $48 a barrel on Tuesday, the lowest level in seven weeks amid rising expectations about U.S. oil supplies this winter.']",3
148,"KIEV -- Opposition leader Viktor Yushchenko yesterday pressed for the prime minister's removal from office, dismissal of electoral officials, and new legislation to guard against fraud in a new presidential runoff, warning that his supporters would continue to blockade government offices until outgoing President Leonid D. Kuchma meets those demands.",1
149,"['KYIV - Opposition leader Viktor Yushchenko yesterday urged the impeachment of the prime minister, the dismissal of election officials, and new laws to protect against fraud in a new presidential runoff, warning that his supporters would continue to block government offices until outgoing President Leonid D. Kuchma complies.']",1
150,"SAN FRANCISCO - In a bid to expand its services business, Symantec Corp. next week plans to start selling security intelligence data as an add-on to its Managed Security Services.&lt;p&gt;ADVERTISEMENT&lt;/p&gt;&lt;p&gt;&lt;img src=""http://ad.doubleclick.net/ad/idg.us.ifw.general/sbcspotrssfeed;sz=1x1;ord=200301151450?"" width=""1"" height=""1"" border=""0""/&gt;&lt;a href=""http://ad.doubleclick.net/clk;11714255;9651165;g?http://infoworld.com/spotlights/sbc/main.html?lpid0101035400730403idlp""&gt;SBC Datacomm White Paper&lt;/a&gt;&lt;br/&gt;Find out how Crate   Barrel expects to save \$180,000 by moving to VoIP, compared to a traditional PBX.&lt;/p&gt;",4
151,"['san diego francisco - in a bid to help expand its services business, symantec corp. next week plans to start selling security intelligence data as only an add - on to its managed information security services. & lt ; p & gt ; advertisement & lt ; / p & gt ; & lt ; p & gt ; & lt ; a img src = "" http : / / ad. doubleclick. net / ad / idg. us. ifw. general / sbcspotrssfeed ; sz = 10 1x1 ; ord = 200301151450? "" width = "" 1 "" height = "" 1 "" border = "" 2 0 "" / & gt ; & lt ; a href = "" http : / / ad. doubleclick. net / clk ; 11714255 ; 9651165 ; g? http : / / infoworld. com / spotlights / sbc / main. html? lpid0101035400730403idlp "" & gt ; sbc datacomm white block paper & lt ; / a & gt ; & lt ; br / & gt ; find out how crate barrel expects to save \\ $ in 180, 000 by moving to their voip, compared to a traditional pbx. & lt ; / p & gt ;']",4
152,"Reuters - Some 30,000 Sudanese, victims of fresh\attacks by Arab militia inside Darfur, have threatened to cross\into Chad, the U.N. refugee agency warned on Friday.",1
153,"['Reuters - Some 30, 000 Sudanese, victim of fresh \\ attacks by Arabian militia inside Darfur, have threatened to cross \\ into Chad, the Uracil. Normality. refugee way warned on Friday.']",1
154,Jackson is one of the first to take advantage of Time Warner Cable #39;s new venture into Voice over Internet Provider (VoIP) telephone service here and she says it works great.,3
155,['jackson then is one of the first to take full advantage of time warner business cable # 39 ; its s new venture effort into having voice over program internet provider ( voip ) telephone service available here and which she often says it works great.'],3
156,"AP - The European Union will help rebuild conflict-ravaged Somalia, but the cost is not clear, the EU's foreign policy chief said Saturday.",1
157,"[""KIRSTEN_GRIESHABER - Secondly Eurpean Union might hoping rebuild conflict - ravaged Somalia, ŒŒIt the afford is necessarily straightforward, the EU ' s foreign policy chief said Saturday.""]",1
158," CHICAGO (Reuters) - Medtronic Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MDT.N target=/stocks/quickinfo/fullquote""&gt;MDT.N&lt;/A&gt; on Wednesday  said its quarterly earnings rose on brisk demand for devices  that manage irregular heart beats and products used to treat  the spine.",3
